	Recording	Participant	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
62977	Recording083	participant30_trial03	Entire Recording	1		Fixation	Partial	1	0	155	155			0.56612	0.70427	2.36172										
62978	Recording083	participant30_trial03	Entire Recording	1		Fixation	Partial	2	275	345	70			0.61553	0.7185199999999999	2.3222										
62979	Recording083	participant30_trial03	Entire Recording	1		Saccade	Partial	1	345	415	70							403.93	594.46				0.61553	0.7185199999999999		
62980	Recording083	participant30_trial03	Entire Recording	1		Saccade	Partial	2	455	485	30							116.86	121.68							
62981	Recording083	participant30_trial03	Entire Recording	1		Saccade	Partial	3	525	535	10							103.59	103.59							
62982	Recording083	participant30_trial03	Entire Recording	1		Saccade	Partial	4	545	555	10							114.65	114.65						0.50337	0.61036
62983	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	3	555	1904	1349			0.50337	0.61036	2.30783										
62984	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Whole	5	1904	1914	10						306.62	127.88	127.88	3.26			0.50337	0.61036	0.53637	0.65476
62985	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	4	1914	3423	1509			0.53637	0.65476	2.44073										
62986	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Partial	6	3423	3533	110							520.39	1326.91				0.53637	0.65476		
62987	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Partial	7	3543	3613	70							194.44	278.37						0.77777	0.59746
62988	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	5	3613	3743	130			0.77777	0.59746	2.58157										
62989	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Whole	8	3743	3783	40						166.85	203.0	253.54	15.31			0.77777	0.59746	0.57811	0.55081
62990	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	6	3783	4063	280			0.57811	0.55081	2.48144										
62991	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Partial	9	4063	4093	30							348.42	421.67				0.57811	0.55081		
62992	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Partial	10	4103	4133	30							108.22	116.87							
62993	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Partial	11	4163	4193	30							175.7	217.24						0.68858	0.72346
62994	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	7	4193	5932	1739			0.68858	0.72346	2.50314										
62995	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Whole	12	5932	5972	40						121.65	268.51	390.12	8.15			0.68858	0.72346	0.60505	0.5879300000000001
62996	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	8	5972	6761	790			0.60505	0.5879300000000001	2.6005										
62997	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Whole	13	6761	6771	10						313.16	106.4	106.4	10.85			0.60505	0.5879300000000001	0.74003	0.7319
62998	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	9	6771	7391	620			0.74003	0.7319	2.59292										
62999	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Whole	14	7391	7401	10						88.83	108.57	108.57	1.91			0.74003	0.7319	0.7411800000000001	0.67575
63000	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	10	7401	7581	180			0.7411800000000001	0.67575	2.57781										
63001	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Partial	15	7581	7601	20							134.58	163.46				0.7411800000000001	0.67575		
63002	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Partial	16	7641	7661	20							123.22	125.42						0.8022100000000001	0.7068399999999999
63003	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	11	7661	7860	200			0.8022100000000001	0.7068399999999999	2.70066										
63004	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Partial	17	7860	7880	20							138.03	141.1				0.8022100000000001	0.7068399999999999		
63005	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Partial	18	7910	7920	10							116.31	116.31							
63006	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Partial	19	7950	7970	20							148.82	156.25						0.81017	0.74753
63007	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	12	7970	8090	120			0.81017	0.74753	2.6094										
63008	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Partial	20	8090	8110	20							116.73	116.73				0.81017	0.74753		
63009	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Partial	21	8120	8190	70							248.23	400.95							
63010	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Partial	22	8310	8350	40							581.98	689.57							
63011	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Partial	23	8390	8410	20							131.91	159.69							
63012	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Partial	24	8420	8430	10							108.5	108.5						0.32029	0.49096000000000006
63013	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	13	8430	8510	80			0.32029	0.49096000000000006	2.4742599999999997										
63014	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Whole	25	8510	8540	30						272.29	154.02	188.93	6.04			0.32029	0.49096000000000006	0.32591	0.63154
63015	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	14	8540	8620	80			0.32591	0.63154	2.45707										
63016	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Whole	26	8620	8640	20						344.54	213.21	220.73	11.2			0.32591	0.63154	0.45408000000000004	0.66699
63017	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	15	8640	9090	450			0.45408000000000004	0.66699	2.4155900000000003										
63018	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Whole	27	9090	9100	10						26.81	114.24	114.24	2.65			0.45408000000000004	0.66699	0.4832	0.65228
63019	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	16	9100	11688	2589			0.4832	0.65228	2.58885										
63020	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Whole	28	11688	11698	10						54.22	101.3	101.3	3.11			0.4832	0.65228	0.5112300000000001	0.61338
63021	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	17	11698	12408	710			0.5112300000000001	0.61338	2.6560099999999998										
63022	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Partial	29	12408	12488	80							324.17	444.46				0.5112300000000001	0.61338		
63023	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Partial	30	12538	12568	30							189.69	242.8						0.60235	0.62449
63024	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	18	12568	13457	889			0.60235	0.62449	2.45234										
63025	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Whole	31	13457	13487	30						180.08	119.4	126.96	13.33			0.60235	0.62449	0.45227	0.62471
63026	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	19	13487	14127	640			0.45227	0.62471	2.42802										
63027	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Whole	32	14127	14137	10						300.1	106.06	106.06	1.97			0.45227	0.62471	0.46673000000000003	0.64964
63028	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	20	14137	14626	490			0.46673000000000003	0.64964	2.40256										
63029	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Partial	33	14626	14706	80							326.44	471.13				0.46673000000000003	0.64964		
63030	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Partial	34	14716	14746	30							142.05	208.13						0.67615	0.59473
63031	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	21	14746	14836	90			0.67615	0.59473	2.48085										
63032	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Whole	35	14836	14876	40						143.35	207.6	279.79	5.59			0.67615	0.59473	0.60754	0.54368
63033	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	22	14876	15096	220			0.60754	0.54368	2.50122										
63034	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Whole	36	15096	15126	30						174.98	141.9	184.54	7.58			0.60754	0.54368	0.52153	0.5361199999999999
63035	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	23	15126	15636	510			0.52153	0.5361199999999999	2.54491										
63036	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Whole	37	15636	15696	60						172.21	343.25	421.6	14.35			0.52153	0.5361199999999999	0.36355	0.5145
63037	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	24	15696	16136	440			0.36355	0.5145	2.54635										
63038	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Whole	38	16136	16205	70						333.45	343.21	531.02	24.33			0.36355	0.5145	0.6323300000000001	0.64878
63039	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	25	16205	16375	170			0.6323300000000001	0.64878	2.51382										
63040	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Whole	39	16375	16405	30						124.07	134.54	174.48	9.39			0.6323300000000001	0.64878	0.54357	0.51752
63041	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	26	16405	16995	590			0.54357	0.51752	2.53603										
63042	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Whole	40	16995	17045	50						343.7	299.24	462.27	12.11			0.54357	0.51752	0.68437	0.5586800000000001
63043	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	27	17045	17475	430			0.68437	0.5586800000000001	2.58664										
63044	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Whole	41	17475	17495	20						255.33	170.1	171.72	5.03			0.68437	0.5586800000000001	0.65828	0.6583600000000001
63045	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	28	17495	17675	180			0.65828	0.6583600000000001	2.59448										
63046	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Whole	42	17675	17715	40						223.56	307.07	426.5	12.02			0.65828	0.6583600000000001	0.53771	0.7730199999999999
63047	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	29	17715	17935	220			0.53771	0.7730199999999999	2.6551400000000003										
63048	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Whole	43	17935	17964	30						48.68	218.97	279.66	9.61			0.53771	0.7730199999999999	0.62798	0.67033
63049	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	30	17964	18174	210			0.62798	0.67033	2.71303										
63050	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Whole	44	18174	18204	30						75.39	130.58	157.29	6.17			0.62798	0.67033	0.6592100000000001	0.55051
63051	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	31	18204	18334	130			0.6592100000000001	0.55051	2.74613										
63052	Recording083	participant30_trial03	Entire Recording	1	fullstream	Saccade	Whole	45	18334	18364	30						109.16	121.57	150.08	5.82			0.6592100000000001	0.55051	0.6199899999999999	0.43762
63053	Recording083	participant30_trial03	Entire Recording	1	fullstream	Fixation	Whole	32	18364	18584	220			0.6199899999999999	0.43762	2.74542										
